feature1	feature2	r
CD4+CD40+_Raw	CD8+PD1+_Raw	-0.0578
CD4+CD40+_Raw	CD8+PDL1+_Raw	0.0088
CD4+CD40+_Raw	CD8+CD38+HLA-DR+_Raw	0.017
CD4+CD40+_Raw	CD8+CD38+HLA-DR-_Raw	0.0954
B cells (% of CD3- CD45+)_Raw	CD4+CD40+_Raw	-0.078
CD4+CD40+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0106
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD40+_Raw	0.0051
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD40+_Raw	0.03
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD40+_Raw	-0.0389
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD40+_Raw	0.0004
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD40+_Raw	-0.0596
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD40+_Raw	-0.0016
CD4+CD69+_Raw	CD4+CD90+_Raw	0.0367
CD4+CD103+_Raw	CD4+CD69+_Raw	-0.007
CD4+CD127+_Raw	CD4+CD69+_Raw	-0.0119
CD4+CD161+_Raw	CD4+CD69+_Raw	-0.0113
CD4+CD69+_Raw	CD4+CTLA4+_Raw	-0.0484
CD4+CD69+_Raw	CD4+FoxP3+CD25+_Raw	-0.0166
CD4+CD69+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0502
CD4+CD69+_Raw	CD4+Va7.2+CD161+_Raw	-0.0111
CD4+CD69+_Raw	CD4+PD1+_Raw	-0.0927
CD4+ Central Memory_Raw	CD4+CD69+_Raw	0.0731
CD4+ Effector Memory_Raw	CD4+CD69+_Raw	0.0414
CD4+ Effector Memory TD_Raw	CD4+CD69+_Raw	-0.0169
CD4+ Naïve_Raw	CD4+CD69+_Raw	-0.0155
CD4+CD69+_Raw	CD4+PD1+CXCR5+ Tfh cells_Raw	-0.0285
CD4+CD38+HLA-DR+_Raw	CD4+CD69+_Raw	-0.0535
CD4+CD38+HLA-DR-_Raw	CD4+CD69+_Raw	0.0171
CD4+CD69+_Raw	CD4-CD8-_Raw	0.0414
CD4+CD69+_Raw	CD4-CD8-Va7.2+CD161+ Mait cells_Raw	-0.0366
CD3+CD8+_Raw	CD4+CD69+_Raw	-0.1469
CD4+CD69+_Raw	CD8+CD25+_Raw	-0.0333
CD4+CD69+_Raw	CD8+CD40+_Raw	0.0087
CD4+CD69+_Raw	CD8+CD69+_Raw	0.106
CD4+CD69+_Raw	CD8+CD90+_Raw	0.0758
CD4+CD69+_Raw	CD8+CD103+_Raw	0.0109
CD4+CD69+_Raw	CD8+CD127+_Raw	-0.0484
CD4+CD69+_Raw	CD8+ Central Memory_Raw	0.0061
CD4+CD69+_Raw	CD8+Effector Memory_Raw	0.0962
CD4+CD69+_Raw	CD8+Effector Memory TD_Raw	-0.0099
CD4+CD69+_Raw	CD8+FoxP3+CD25+_Raw	0.0264
CD4+CD69+_Raw	CD8+Va7.2+CD161+_Raw	-0.0341
CD4+CD69+_Raw	CD8+Naïve_Raw	-0.0349
CD4+CD69+_Raw	CD8+PD1+_Raw	-0.0306
CD4+CD69+_Raw	CD8+PDL1+_Raw	0.0456
CD4+CD69+_Raw	CD8+CD38+HLA-DR+_Raw	-0.0394
CD4+CD69+_Raw	CD8+CD38+HLA-DR-_Raw	0.0005
B cells (% of CD3- CD45+)_Raw	CD4+CD69+_Raw	0.0242
CD4+CD69+_Raw	NK cells (% of CD3- CD45+)_Raw	-0.0008
CD14+ Monocytes (% of CD3- CD45+)_Raw	CD4+CD69+_Raw	-0.038
CD14+16- Classical Monocytes (% of parent)_Raw	CD4+CD69+_Raw	0.0354
CD14-16+ NonClassical Monocytes (% of parent)_Raw	CD4+CD69+_Raw	-0.0336
CD14+16+ Intermediate Monocytes (% of parent)_Raw	CD4+CD69+_Raw	0.0359
CD11c+CD123-cDCs (% of CD3- CD45+)_Raw	CD4+CD69+_Raw	0.0074
CD11c-CD123+pDCs (% of CD3- CD45+)_Raw	CD4+CD69+_Raw	0.0077
CD4+CD103+_Raw	CD4+CD90+_Raw	-0.028
CD4+CD127+_Raw	CD4+CD90+_Raw	0.0215
CD4+CD161+_Raw	CD4+CD90+_Raw	0.0767
CD4+CD90+_Raw	CD4+CTLA4+_Raw	0.0779
CD4+CD90+_Raw	CD4+FoxP3+CD25+_Raw	0.0164
CD4+CD90+_Raw	CD4+FoxP3+CD25+CD127+ Tregs (% of CD4)_Raw	-0.0188
CD4+CD90+_Raw	CD4+Va7.2+CD161+_Raw	0.0222
CD4+CD90+_Raw	CD4+PD1+_Raw	0.0351
CD4+ Central Memory_Raw	CD4+CD90+_Raw	0.003
CD4+ Effector Memory_Raw	CD4+CD90+_Raw	0.126
